question	answer
人口普查為何重要？ 	人口普查數據確定了社區的資源，並定義了我們未來10年在政府中的聲音。您的參與將幫助您的社區公平分享資源，服務和代表。這筆錢可用於學校，醫院，道路，經濟適用房，育兒，老年中心，公共工程和其他重要投資。 
人口普查何時開始？	2020年人口普查正在進行中！您可以在線，通過電話或通過郵件獲取2020年人口普查。如果您沒有普查表格，建議您在線或通過電話進行普查。
我可以與人一起進行人口普查嗎？	可以。如果您撥打熱線電話之一，或者可以等到8月14日左右，讓普查員訪問您的家，以便親自面對您，您可以致電正式的普查員（也稱為普查員）進行普查。尚未回應。
我可以撥打什麼電話號碼？	以下是指定語言的幫助電話：英語844-330-2020。西班牙語：844-468-2020。中文（普通話）：844-391-2020。中文（廣東話）：844-398-2020。越南語：844-461-2020。
如果我不會說英語，該從哪裡獲得幫助？	在線和電話自我答複調查表將以英語和其他12種語言提供：西班牙語，中文（簡體中文，通過電話廣東話和普通話），阿拉伯語，法語，海地克里奧爾語，日語，韓語，波蘭語，葡萄牙語，俄語，他加祿語和越南語。
人口普查有不同語言版本嗎？	在線和電話自我答複調查表將以英語和其他12種語言提供：西班牙語，中文（簡體中文，通過電話廣東話和普通話），阿拉伯語，法語，海地克里奧爾語，日語，韓語，波蘭語，葡萄牙語，俄語，他加祿語和越南語。
如果我對普查有更多疑問，並且不想與人口普查局工作人員或為政府工作的任何人交談，我可以撥打熱線電話嗎？	是。法律上的民權律師委員會（以下簡稱“律師委員會”）與阿拉伯美國研究所合作，亞裔美國人促進司法| AAJC和NALEO教育基金已經為其服務的社區啟動了2020年人口普查熱線。律師委員會（英語）：888-268-6820。阿拉伯美國學會（英語，阿拉伯語）：833-333-6864。促進司法公正的亞裔美國人（英語，普通話，粵語，韓語，越南語，他加祿語，烏爾都語，北印度語，孟加拉語）：844-202-0274。 NALEO教育基金（英語，西班牙語）：877-352-3676。
我的回答保密嗎？	是!您的個人回復將被保密72年。人口普查局出於統計目的正在收集人口普查響應，這將有助於告知超過6,750億美元的資金已分配給各個級別的社區和政治代表。
我沒有收到任何普查郵件，我還能參加普查嗎？	是的，您可以在my2020census.gov上在線進行人口普查或致電熱線之一。
如果我放錯了地方或從未收到人口普查的唯一ID，我可以回應嗎？	可以，您仍然可以回應。如果您不知道唯一ID，則必須在表格中添加家庭住址。我可以跳過問題嗎？可以跳過一個問題，您的表格仍將被計算在內。但是，如果您跳過表格上的問題以通過電話或將普查員送到您的家中來詢問缺少的信息，則可能會跟進。您跳過的問題越少，人口普查局進行跟進的可能性就越小。
我的答案會影響我的利益嗎？	不會。填寫問卷不會影響個人參加任何福利計劃的資格。
我收到了一封郵件調查。我認為這是人口普查，但我不知道。我應該進行人口普查嗎？	是!如果您不記得，可以在線進行普查或通過電話再次進行普查。人口普查局有一個內部流程，可以避免對一個家庭的居民進行多次計數。來自同一家庭的重複項將被丟棄。
如果我在2020年4月1日離開居住地，該怎麼辦？	即使您在4月1日出門在外，您也要數一年中大部分時間的住所和地址。
我應在普查表中包括誰？	與您同住的每個人，無論其移民身份，年齡或租約上的身份如何。每個人都很重要。
